"MS_SubClass","MS_Zoning","Lot_Area","Street","Alley","Lot_Shape","Land_Contour","Utilities","Lot_Config","Land_Slope","Neighborhood","Condition_1","Condition_2","Bldg_Type","House_Style","Overall_Qual","Overall_Cond","Year_Built","Year_Remod/Add","Roof_Style","Roof_Matl","Exterior_1st","Exterior_2nd","Mas_Vnr_Type","Mas_Vnr_Area","Exter_Qual","Exter_Cond","Foundation","Bsmt_Qual","Bsmt_Cond","Bsmt_Exposure","BsmtFin_Type_1","BsmtFin_Type_2","Total_Bsmt_SF","Heating","Heating_QC","Central_Air","Electrical","Gr_Liv_Area","Bsmt_Full_Bath","Bsmt_Half_Bath","Full_Bath","Half_Bath","Bedroom_AbvGr","Kitchen_AbvGr","Kitchen_Qual","Functional","Fireplaces","Fireplace_Qu","Garage_Type","Garage_Finish","Garage_Cars","Garage_Area","Garage_Qual","Garage_Cond","Paved_Drive","Wood_Deck_SF","Open_Porch_SF","Enclosed_Porch","3Ssn_Porch","Screen_Porch","Pool_Area","Pool_QC","Fence","Misc_Feature","Misc_Val","Mo_Sold","Yr_Sold","Sale_Type","Sale_Condition","SalePrice","Has_Basement","Has_Garage","Has_Fireplace","Has_Pool","Has_Fence","Has_Alley","Has_MasVnr"
"020","RL",10400,"Pave","NA",4,"Lvl",4,"Inside",3,"NWAmes","Norm","Norm","1Fam","1Story",7,5,1976,1976,"Gable","CompShg","HdBoard","HdBoard","BrkFace",189,3,3,"CBlock",4,3,1,1,1,1090,"GasA",3,"Y",5,1370,0,0,2,0,3,1,3,8,1,3,"Attchd",2,2,479,3,3,3,0,0,0,0,0,0,0,3,"NA",0,6,2009,"WD","Family",152000,1,1,1,0,1,0,1
"120","RL",3922,"Pave","NA",4,"Lvl",4,"Inside",3,"Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2006,2007,"Gable","CompShg","WdShing","Wd Shng","BrkFace",72,4,3,"PConc",5,3,3,1,1,1258,"GasA",5,"Y",5,1258,0,0,2,0,2,1,4,8,1,4,"Attchd",3,3,648,3,3,3,144,16,0,0,0,0,0,0,"NA",0,6,2007,"New","Partial",172500,1,1,1,0,0,0,1
"020","RM",5805,"Pave","Grvl",4,"Bnk",4,"Inside",2,"OldTown","Norm","Norm","1Fam","1Story",5,7,1957,1957,"Hip","CompShg","MetalSd","MetalSd","None",0,3,3,"CBlock",3,3,2,4,3,1347,"GasA",4,"Y",5,1347,1,1,1,0,3,1,4,8,0,0,"Detchd",1,2,551,3,3,3,0,0,0,0,0,0,0,0,"NA",0,6,2010,"WD","Normal",143000,1,1,0,0,0,1,0
"030","RL",11600,"Pave","NA",4,"Lvl",4,"Inside",3,"Crawfor","Norm","Norm","1Fam","1Story",4,5,1922,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"BrkTil",2,3,1,1,1,700,"GasA",5,"Y",5,1180,0,0,1,0,2,1,2,8,1,4,"Detchd",1,1,252,3,2,3,0,0,67,0,0,0,0,0,"NA",0,7,2006,"WD","Normal",137500,1,1,1,0,0,0,0
"090","RL",8544,"Pave","NA",4,"Lvl",4,"Inside",3,"NAmes","Norm","Norm","Duplex","1Story",3,4,1949,1950,"Gable","CompShg","Stucco","Stucco","BrkFace",340,3,3,"Slab",0,0,0,0,0,0,"Wall",2,"N",3,1040,0,0,2,0,2,2,3,8,0,0,"Detchd",1,2,400,3,3,3,0,0,0,0,0,0,0,0,"NA",0,5,2006,"WD","Normal",87500,0,1,0,0,0,0,1
"045","RM",7449,"Pave","Grvl",4,"Bnk",4,"Inside",3,"IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"PConc",3,3,1,1,1,637,"GasA",5,"Y",2,1108,0,0,1,0,3,1,4,8,1,4,"Attchd",1,1,280,3,3,1,0,0,205,0,0,0,0,4,"NA",0,6,2007,"WD","Normal",139400,1,1,1,0,1,1,0
"020","RL",11457,"Pave","NA",3,"Lvl",4,"Corner",3,"Timber","Norm","Norm","1Fam","1Story",6,5,1988,1988,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"CBlock",4,3,2,6,1,1392,"GasA",3,"Y",5,1412,1,0,2,0,3,1,4,8,1,3,"Attchd",1,2,576,3,3,3,0,0,169,0,0,0,0,0,"NA",0,3,2009,"WD","Normal",175000,1,1,1,0,0,0,0
"020","RL",8532,"Pave","NA",4,"Lvl",4,"Inside",3,"NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1990,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,3,3,"CBlock",3,3,1,3,1,1297,"GasA",4,"Y",5,1297,0,1,1,0,3,1,3,8,1,3,"Attchd",3,2,498,3,3,3,0,0,0,0,0,0,0,0,"NA",0,10,2009,"WD","Normal",153000,1,1,1,0,0,0,1
"050","RL",5190,"Pave","NA",4,"Lvl",4,"Inside",3,"Edwards","Norm","Norm","1Fam","1.5Fin",7,5,1948,1950,"Gable","CompShg","BrkFace","Plywood","None",0,3,3,"CBlock",3,3,1,1,1,570,"GasA",3,"Y",5,1079,0,0,1,0,2,1,3,8,1,4,"Attchd",1,1,249,3,3,3,135,0,0,0,0,0,0,0,"NA",0,1,2008,"WD","Normal",125600,1,1,1,0,0,0,0
"060","RL",15038,"Pave","NA",2,"Lvl",4,"Corner",3,"Gilbert","Norm","Norm","1Fam","2Story",6,5,1996,1996,"Gable","CompShg","HdBoard","HdBoard","None",0,3,3,"PConc",4,3,1,3,1,916,"GasA",4,"Y",5,1636,0,0,2,1,3,1,3,8,1,3,"Attchd",3,2,386,3,3,3,168,84,0,0,0,0,0,0,"NA",0,11,2008,"WD","Normal",173000,1,1,1,0,0,0,0
"060","RL",16900,"Pave","NA",4,"Lvl",4,"Inside",3,"NridgHt","Norm","Norm","1Fam","2Story",8,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",1110,4,3,"PConc",5,3,2,6,1,1479,"GasA",5,"Y",5,2649,1,0,2,1,4,1,4,8,1,3,"Attchd",3,3,746,3,3,3,0,60,0,0,0,0,0,0,"NA",0,1,2008,"WD","Normal",421250,1,1,1,0,0,0,1
"020","RL",11354,"Pave","NA",4,"Lvl",4,"Inside",3,"CollgCr","Norm","Norm","1Fam","1Story",7,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",3,3,4,6,1,1673,"GasA",5,"Y",5,1673,1,0,2,0,3,1,4,8,1,3,"Attchd",2,2,583,3,3,3,306,113,0,0,116,0,0,0,"NA",0,1,2007,"WD","Normal",270000,1,1,1,0,0,0,0
"070","RL",7200,"Pave","NA",4,"Lvl",4,"Corner",3,"OldTown","Artery","Norm","1Fam","2Story",7,9,1910,2008,"Gable","CompShg","VinylSd","VinylSd","None",0,4,4,"PConc",3,3,1,1,1,560,"GasA",5,"Y",5,1690,0,0,2,0,4,1,4,8,0,0,"Detchd",1,2,624,3,3,3,0,0,112,0,0,0,0,0,"NA",0,8,2009,"WD","Normal",156500,1,1,0,0,0,0,0
"020","RL",12243,"Pave","NA",3,"Lvl",4,"Inside",3,"NWAmes","Norm","Norm","1Fam","1Story",5,6,1971,1971,"Gable","CompShg","Plywood","Plywood","None",0,3,3,"CBlock",4,3,3,5,1,1484,"GasA",4,"Y",5,1484,0,0,2,0,3,1,3,8,1,3,"Attchd",1,2,487,3,3,3,224,0,0,0,180,0,0,0,"NA",0,2,2007,"WD","Normal",175000,1,1,1,0,0,0,0
"050","RL",13680,"Pave","NA",4,"HLS",4,"Inside",2,"Crawfor","Norm","Norm","1Fam","1.5Fin",5,6,1940,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",3,3,1,5,1,840,"GasA",5,"Y",5,1567,1,0,1,1,2,1,3,6,2,3,"Detchd",1,2,440,3,3,3,0,21,150,0,0,0,0,4,"NA",0,2,2009,"WD","Normal",205000,1,1,1,0,1,0,0
"080","RL",6305,"Pave","NA",4,"Lvl",4,"Inside",3,"Edwards","Norm","Norm","1Fam","SLvl",6,6,1975,1975,"Gable","CompShg","Plywood","Plywood","None",0,3,3,"CBlock",3,3,3,5,1,1008,"GasA",3,"Y",5,1096,1,0,1,0,3,1,3,8,1,2,"Detchd",1,1,352,3,3,3,0,0,0,0,0,0,0,0,"NA",0,6,2010,"WD","Normal",125200,1,1,1,0,0,0,0
"060","RL",8998,"Pave","NA",3,"Lvl",4,"Inside",3,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",120,4,3,"PConc",4,3,2,6,1,782,"GasA",5,"Y",5,1652,0,0,2,1,3,1,4,8,0,0,"Attchd",2,2,532,3,3,3,0,70,0,0,0,0,0,0,"NA",0,6,2008,"WD","Normal",207500,1,1,0,0,0,0,1
"060","RL",9675,"Pave","NA",4,"Lvl",4,"Inside",3,"Somerst","Norm","Norm","1Fam","2Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,2,6,1,1113,"GasA",5,"Y",5,1971,0,0,2,1,3,1,4,8,1,4,"Attchd",2,2,689,3,3,3,0,48,0,0,0,0,0,0,"NA",0,2,2009,"WD","Normal",253000,1,1,1,0,0,0,0
"060","RL",9771,"Pave","NA",1,"Lvl",4,"Corner",3,"SawyerW","Norm","Norm","1Fam","2Story",6,5,1995,2002,"Gable","CompShg","HdBoard","HdBoard","BrkFace",190,4,3,"PConc",4,3,1,2,1,1077,"GasA",5,"Y",5,2814,0,1,2,1,4,1,4,8,1,3,"BuiltIn",3,2,614,3,3,3,48,32,0,0,216,0,0,4,"NA",0,6,2008,"WD","Normal",260000,1,1,1,0,1,0,1
"160","RM",1526,"Pave","NA",4,"Lvl",4,"Inside",3,"MeadowV","Norm","Norm","Twnhs","2Story",4,5,1970,1970,"Gable","CompShg","CemntBd","CmentBd","None",0,3,3,"CBlock",3,3,1,1,1,546,"GasA",3,"Y",5,1092,0,0,1,1,3,1,3,8,0,0,"NA",0,0,0,0,0,3,0,34,0,0,0,0,0,4,"NA",0,6,2006,"WD","Normal",79500,1,0,0,0,1,0,0
"020","RL",13214,"Pave","NA",3,"HLS",4,"Inside",3,"Timber","Norm","Norm","1Fam","1Story",9,5,2008,2009,"Hip","CompShg","Stucco","CmentBd","None",0,5,3,"PConc",5,3,4,1,1,2002,"GasA",5,"Y",5,2018,0,0,2,0,3,1,5,8,1,4,"Attchd",3,3,746,3,3,3,144,76,0,0,0,0,0,0,"NA",0,5,2010,"WD","Normal",378500,1,1,1,0,0,0,0
"020","RL",7200,"Pave","NA",4,"Lvl",4,"Inside",3,"NAmes","Norm","Norm","1Fam","1Story",5,7,1950,1950,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",0,0,0,0,0,0,"GasA",3,"Y",2,1040,0,0,1,0,2,1,3,8,0,0,"Detchd",1,2,625,3,3,3,0,0,0,0,0,0,0,0,"NA",0,6,2006,"WD","Normal",109500,0,1,0,0,0,0,0
"020","FV",7180,"Pave","Pave",3,"Lvl",4,"Inside",3,"Somerst","Norm","Norm","1Fam","1Story",8,5,2001,2002,"Gable","CompShg","CemntBd","CmentBd","None",0,4,3,"PConc",4,3,1,1,1,1568,"GasA",5,"Y",5,1568,0,0,2,0,3,1,4,8,1,3,"Attchd",2,2,564,3,3,3,0,266,0,0,0,0,0,0,"NA",0,9,2006,"WD","Normal",221000,1,1,1,0,0,1,0
"050","RL",8405,"Pave","Grvl",4,"Lvl",4,"Inside",3,"Edwards","Norm","Norm","1Fam","1.5Fin",5,8,1900,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,3,3,"BrkTil",3,4,1,3,4,861,"GasA",5,"Y",5,1367,1,0,1,0,4,1,3,8,0,0,"Detchd",1,1,384,3,3,3,0,130,112,0,0,0,0,3,"NA",0,4,2008,"WD","Normal",119000,1,1,0,0,1,1,0
"180","RM",3675,"Pave","NA",4,"Lvl",4,"Inside",3,"Edwards","Norm","Norm","TwnhsE","SFoyer",6,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",80,3,3,"Wood",4,3,4,6,1,547,"GasA",4,"Y",5,1072,1,0,1,0,2,1,3,8,0,0,"Basment",3,2,525,3,3,3,0,28,0,0,0,0,0,0,"NA",0,4,2009,"WD","Normal",145500,1,1,0,0,0,0,1
"060","RL",12474,"Pave","NA",4,"Lvl",4,"Inside",3,"NridgHt","Norm","Norm","1Fam","2Story",10,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",272,5,3,"PConc",5,3,3,6,1,1682,"GasA",5,"Y",5,2332,1,0,2,1,3,1,5,8,1,5,"BuiltIn",3,3,846,3,3,3,196,134,0,0,0,0,0,0,"NA",0,8,2008,"New","Partial",426000,1,1,1,0,0,0,1
"190","RL",34650,"Pave","NA",4,"Bnk",4,"Inside",3,"Gilbert","Norm","Norm","2fmCon","1Story",5,5,1955,1955,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",3,3,2,3,1,1056,"GasA",3,"N",5,1056,1,0,1,0,3,1,3,8,0,0,"Attchd",3,2,572,3,3,3,264,0,0,0,0,0,0,0,"NA",0,1,2006,"WD","Normal",145000,1,1,0,0,0,0,0
"060","RL",8450,"Pave","NA",4,"Lvl",4,"Inside",3,"CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,4,3,"PConc",4,3,1,6,1,856,"GasA",5,"Y",5,1710,1,0,2,1,3,1,4,8,0,0,"Attchd",2,2,548,3,3,3,0,61,0,0,0,0,0,0,"NA",0,2,2008,"WD","Normal",208500,1,1,0,0,0,0,1
"060","RL",12867,"Pave","NA",3,"Lvl",4,"Corner",3,"NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","CemntBd","CmentBd","None",0,4,3,"PConc",5,3,3,1,1,1209,"GasA",5,"Y",5,2253,0,0,2,1,3,1,5,8,1,4,"Attchd",3,2,575,3,3,3,243,142,0,0,0,0,0,0,"NA",0,7,2006,"New","Partial",344133,1,1,1,0,0,0,0
"020","RL",13001,"Pave","NA",3,"Lvl",4,"Inside",3,"NWAmes","PosN","Norm","1Fam","1Story",6,5,1971,1971,"Hip","CompShg","HdBoard","HdBoard","BrkFace",176,3,3,"CBlock",3,3,2,5,4,1625,"GasA",3,"Y",5,1220,0,1,2,0,2,1,3,8,1,3,"Attchd",1,2,944,3,3,3,0,0,249,0,0,0,0,0,"NA",0,9,2007,"WD","Normal",170000,1,1,1,0,0,0,1
"120","RL",3196,"Pave","NA",4,"Lvl",4,"Inside",3,"Blmngtn","Norm","Norm","TwnhsE","1Story",8,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",40,4,3,"PConc",4,3,4,1,1,1273,"GasA",5,"Y",5,1456,0,0,2,0,2,1,4,8,1,3,"Attchd",3,2,400,3,3,3,143,20,0,0,0,0,0,0,"NA",0,5,2006,"WD","Normal",215000,1,1,1,0,0,0,1
"150","RL",1700,"Pave","NA",4,"HLS",4,"Inside",3,"ClearCr","Norm","Norm","Twnhs","1.5Fin",7,5,1980,1981,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,2,6,1,430,"GasA",3,"Y",5,1700,1,0,2,1,2,1,4,8,0,0,"Basment",3,1,450,4,3,3,188,36,0,0,200,0,0,0,"NA",0,4,2006,"WD","Normal",148400,1,1,0,0,0,0,0
"080","RL",15584,"Pave","NA",4,"Lvl",4,"Inside",3,"ClearCr","Norm","Norm","1Fam","SLvl",5,5,1956,1956,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",366,3,3,"CBlock",3,3,2,1,1,825,"GasA",5,"Y",5,2071,0,1,1,1,4,1,3,8,1,3,"Attchd",1,1,336,3,3,3,131,28,0,0,0,0,0,0,"NA",0,10,2009,"WD","Normal",165000,1,1,1,0,0,0,1
"120","RL",5950,"Pave","NA",3,"HLS",4,"Inside",2,"StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1989,1989,"Gable","CompShg","HdBoard","HdBoard","None",0,4,3,"PConc",4,3,4,6,1,1337,"GasA",4,"Y",5,1337,1,0,2,0,2,1,4,8,1,3,"Attchd",2,2,462,3,3,3,0,73,154,0,0,0,0,0,"NA",0,4,2008,"WD","Normal",188500,1,1,1,0,0,0,0
"090","RL",9671,"Pave","NA",4,"Lvl",4,"Corner",3,"NAmes","Artery","Norm","Duplex","2Story",6,5,1969,1969,"Gable","CompShg","MetalSd","MetalSd","Stone",480,3,3,"CBlock",3,3,1,1,1,1248,"GasA",3,"Y",5,2544,0,0,2,2,6,2,3,8,0,0,"Attchd",2,3,907,3,3,3,0,0,0,0,0,0,0,0,"NA",0,8,2009,"WD","Normal",190000,1,1,0,0,0,0,1
"050","RL",8741,"Pave","NA",4,"Lvl",4,"Inside",3,"Edwards","Norm","Norm","1Fam","1.5Fin",6,4,1945,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"CBlock",3,2,1,2,1,735,"GasA",3,"Y",3,1487,0,0,1,1,3,1,3,8,1,4,"Detchd",1,1,220,3,3,3,0,140,0,0,0,0,0,3,"NA",0,4,2010,"WD","Normal",113000,1,1,1,0,1,0,0
"030","RL",10800,"Pave","Grvl",4,"Lvl",4,"Inside",3,"OldTown","Norm","Norm","1Fam","1Story",5,6,1920,1950,"Hip","CompShg","Stucco","Stucco","None",0,3,3,"BrkTil",3,3,1,3,1,1120,"GasA",5,"Y",5,1130,1,0,1,0,2,1,3,8,1,4,"Detchd",1,2,720,3,3,3,229,0,0,0,0,0,0,0,"NA",0,6,2006,"WD","Normal",120000,1,1,1,0,0,1,0
"020","RL",7800,"Pave","NA",4,"Lvl",4,"Inside",3,"NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1954,"Gable","CompShg","HdBoard","HdBoard","BrkFace",200,3,3,"PConc",3,3,1,2,1,1268,"GasA",4,"Y",5,1268,0,0,1,0,2,1,3,8,1,4,"Attchd",3,1,244,3,3,3,0,98,0,0,0,0,0,0,"NA",0,3,2010,"WD","Normal",132000,1,1,1,0,0,0,1
"090","RL",6040,"Pave","NA",4,"Lvl",4,"Inside",3,"Edwards","Norm","Norm","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood","None",0,3,3,"PConc",0,0,0,0,0,0,"GasA",3,"N",1,1152,0,0,2,0,2,2,2,8,0,0,"NA",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"NA",0,6,2008,"WD","AdjLand",82000,0,0,0,0,0,0,0
"060","RL",8390,"Pave","NA",3,"Lvl",4,"Inside",3,"Gilbert","Norm","Norm","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",4,3,1,1,1,831,"GasA",5,"Y",5,1651,0,0,2,1,3,1,3,8,1,3,"BuiltIn",3,2,450,3,3,3,0,103,0,0,0,0,0,0,"NA",0,5,2008,"WD","Normal",185900,1,1,1,0,0,0,0
"160","RM",1680,"Pave","NA",4,"Lvl",4,"Inside",3,"BrDale","Norm","Norm","Twnhs","2Story",6,5,1973,1973,"Gable","CompShg","HdBoard","HdBoard","BrkFace",504,3,3,"CBlock",3,3,1,4,1,483,"GasA",3,"Y",5,987,1,0,1,1,2,1,3,8,0,0,"Detchd",1,1,264,3,3,3,0,0,0,0,0,0,0,0,"NA",0,7,2009,"WD","Normal",111000,1,1,0,0,0,0,1
"060","RL",9024,"Pave","NA",3,"Lvl",4,"Inside",3,"Gilbert","Norm","Norm","1Fam","2Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,1,1,1,789,"GasA",5,"Y",5,1515,0,0,2,1,3,1,4,8,1,4,"Attchd",3,2,393,3,3,3,0,75,0,0,0,0,0,0,"NA",0,7,2008,"WD","Normal",179000,1,1,1,0,0,0,0
"070","RL",13515,"Pave","Pave",4,"Lvl",4,"Inside",3,"BrkSide","Norm","Norm","1Fam","2Story",6,6,1919,1950,"Gambrel","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"PConc",3,3,1,1,1,764,"GasA",5,"Y",3,1824,0,0,1,0,3,1,3,8,1,4,"Detchd",1,2,520,3,3,1,0,0,126,0,0,0,0,4,"NA",0,7,2007,"WD","Normal",180500,1,1,1,0,1,1,0
"050","RM",4080,"Pave","Grvl",4,"Lvl",4,"Inside",3,"OldTown","Norm","Norm","1Fam","1.5Fin",6,8,1935,1998,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,3,"PConc",3,3,1,1,1,901,"GasA",4,"Y",5,1378,0,0,1,0,3,1,4,8,0,0,"Detchd",1,1,162,2,2,2,54,0,40,0,0,0,0,0,"NA",0,6,2009,"WD","Normal",128900,1,1,0,0,0,1,0
"020","RL",17871,"Pave","NA",2,"Lvl",4,"Inside",3,"Crawfor","Norm","Norm","1Fam","1Story",4,5,1995,1996,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",4,3,1,1,1,1680,"GasA",4,"Y",5,1680,0,0,2,0,4,1,4,8,0,0,"Attchd",1,2,628,3,3,3,152,0,0,0,0,0,0,0,"NA",0,6,2007,"WD","Normal",170000,1,1,0,0,0,0,0
"060","RL",9109,"Pave","NA",4,"Lvl",4,"Inside",3,"SawyerW","RRAe","Norm","1Fam","2Story",7,5,1994,1994,"Gable","CompShg","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,1,2,6,754,"GasA",5,"Y",5,1540,1,0,2,1,3,1,4,8,0,0,"Attchd",2,2,495,3,3,3,140,32,0,0,0,0,0,0,"NA",0,10,2009,"WD","Normal",184000,1,1,0,0,0,0,0
